area_id,stop_id
110101,n4139856525
110101,n4139856525
110101,n4139856525
110101,n4139856523
110101,n4139856523
110101,n4139856523
110101,n4139856523
110101,n4139856523
110101,n4139856523
110105,n4139856521
110105,n4139856521
110105,n4139856521
110105,n4139856521
110105,n4139856521
110105,n2468419434
110105,n2468419434
110105,n2468419434
110105,n2468419434
110105,n2468419434
110105,n2468419434
110105,n2468419434
110105,n2468419434
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419432
110105,n2468419429
110105,n2468419429
110105,n2468419429
110105,n2468419429
110105,n2468419429
110105,n2468419429
110105,n2468419429
110105,n2468419429
110105,n4148548620
110105,n4148548620
110105,n4148548618
110105,n4148548618
110105,n4148548618
110105,n4148548618
110105,n4148548618
110105,n3416840247
110105,n3416840247
110105,n3416840247
110105,n3416840247
110105,n3416840247
110105,n3384472063
110105,n3384472063
110105,n3384472063
110105,n3384472063
110105,n3384472063
110105,n3384472063
110105,n4148548616
110105,n4148548616
110105,n4148548616
110105,n4148548616
110105,n3384472073
110105,n3384472073
110105,n3384472073
110105,n3384472073
110105,n3384472073
110105,n3384472073
110112,n3416840273
110112,n3416840273
110112,n3416840273
110112,n3416840273
110112,n3416840273
110112,n4150606943
110112,n4150606943
110112,n4150606943
110112,n4150606943
110112,n4150606943
110112,n4150606934
110112,n4150606934
110112,n4150606934
110112,n4150606934
110112,n6172173752
110112,n6172173752
110112,n6172173752
110112,n6172173752
110112,n6172173752
110112,n4150606939
110112,n4150606939
110112,n4150606939
110112,n4150606939
110112,n4150606939
110112,n4150606939
110112,n4150606939
110112,n4150606937
110112,n4150606937
110112,n4150606937
110112,n4150606937
110112,n4150606937
110112,n4150606937
110112,n4150606941
110112,n4150606941
110112,n4150606941
110112,n4150606941
110112,n12229030036
110112,n12229030036
110112,n13417552675
110112,n4150606942
110112,n4150606938
110112,n4150606940
110112,n6172173751
110112,n4150606935
110112,n4150606944
110112,n4150606945
110105,n4150606936
110105,n4148548617
110105,n3416840249
110105,n3416840248
110105,n4148548619
110105,n4148548621
110105,n2468419430
110105,n2468419431
110105,n2468419433
110105,n4139856522
110101,n4139856524
110101,n4139856526
110102,n4139856520
110102,n4139856528
110102,n4137849446
110102,n3053715983
110102,n11283748468
110108,n4137849443
110108,n4137849450
110108,n4137849448
110108,n2099471227
110108,n6127534685
110108,n6127534581
110107,n6127534534
110107,n6127534572
110107,n6127534570
110107,n6127534568
110106,n3369459828
110106,n3369459828
110102,n3369459897
110102,n3369459897
110102,n3369459799
110102,n3369459799
110102,n3369458280
110102,n3369458280
110102,n3369458280
110102,n3369459390
110102,n3369459390
110102,n3369459390
110102,n3369459390
110102,n3369459390
110102,n3369459806
110102,n3369459806
110102,n3369459806
110102,n3369459806
110102,n3369459806
110101,n3369459913
110101,n3369459913
110101,n3369459913
110101,n3369459913
110101,n3369459913
110101,n3369459913
110101,n3369459930
110101,n3369459930
110101,n3369459945
110101,n3369459945
110101,n3369459811
110101,n3369459811
110101,n3369459965
110101,n3369459965
110105,n3369459955
110105,n3369459955
110105,n3369459955
110105,n3369459955
110105,n3369459955
110105,n3369459952
110105,n3369459952
110105,n3369459952
110105,n3369459952
110105,n3369459952
110105,n3369459952
110105,n3369459952
110105,n3369459958
110105,n3369459958
110105,n3369459958
110105,n3369459958
110105,n3369459958
110105,n3369459932
110105,n3369459932
110105,n3369459932
110105,n3369459932
110105,n3369459932
110105,n3369459932
110105,n3369459385
110105,n3369459385
110105,n3369459385
110105,n3369459385
110105,n3369459385
110105,n3369459372
110105,n3369459372
110105,n3369459372
110105,n3369459372
110105,n3369459372
110105,n3369459372
110105,n3369459362
110105,n3369459362
110105,n3369459362
110105,n3369459362
110105,n3369459338
110105,n3369459338
110105,n3369459338
110105,n3369459338
110105,n3369459329
110105,n3369459329
110105,n3369459329
110105,n3369459329
110105,n3369459329
110105,n3369459329
110105,n3369459319
110105,n3369459319
110105,n3369459319
