osm_stop_position_id,osm_stop_area_group_id,osm_stop_area_id,osm_station_id,osm_entrance_ids,station_id,device_location,fare_location,name_cn,stop_code,amap_id,amap_name,adcode
n4148548617,osm_stop_area_group_id,r6170650,w334620989,"n11816785332,n12399943037",95,150996539,150996539,常营,060059,amap_id,amap_name,adcode
n3416840249,osm_stop_area_group_id,r4726853,n7896877677,"n11542805942,n11542805943,n11542805944,n11542805945",94,150996537,150996537,黄渠,060057,amap_id,amap_name,adcode
n3416840248,osm_stop_area_group_id,r4726852,n5441499243,"n11542917162,n11542917163,n11542917161",93,150996535,150996535,褡裢坡,060055,amap_id,amap_name,adcode
n4148548619,osm_stop_area_group_id,r6170651,n5444431618,"n5257010481,n5257010482,n11559318415",92,150996533,150996533,青年路,060053,amap_id,amap_name,adcode
n4148548621,osm_stop_area_group_id,r6170652,n5365586568,,91,150996531,150996531,十里堡,060051,amap_id,amap_name,adcode
n2468419430,osm_stop_area_group_id,r4622761,n6606206479,"n4832116904,n4832116905,n4832116906,n4832116907,n4832116908,n4832116909",90,150998599,150995116,金台路,140071,amap_id,amap_name,adcode
n2468419431,osm_stop_area_group_id,r8047926,n5430443221,"n3450796157,n3450796158,n3450796161,n3450796155,n3450796160,n3450796159,n1840733228,n3450796156",89,150996527,150995075,呼家楼,060047,amap_id,amap_name,adcode
n2468419433,osm_stop_area_group_id,r6159577,n7896877680,"n7672184054,n7672184056,n11203076219,n10675884486,n7672184055,n7672184057",88,150996525,150996525,东大桥,060045,amap_id,amap_name,adcode
n4139856522,osm_stop_area_group_id,r8048009,n5430525703,"n5994862291,n6694898270,n6694898271",31,150996523,150995050,朝阳门,060043,amap_id,amap_name,adcode
n4139856524,osm_stop_area_group_id,r7842108,n5305505990,"n1357810136,n1990853188,n6787169488,n6454510152,n6787169487",67,150996521,150995068,东四,060041,amap_id,amap_name,adcode
n4139856526,osm_stop_area_group_id,r7842109,n6497767616,"n4400766340,n4400766339",87,150996519,150995113,南锣鼓巷,060039,amap_id,amap_name,adcode
n4139856520,osm_stop_area_group_id,r6159576,n5441526453,"n2433565012,n2433565023,n13239733934",86,150996517,150996517,北海北,060037,amap_id,amap_name,adcode
n4139856528,osm_stop_area_group_id,r2068918,n9385088769,"n1742845280,n1742845277,n1742845268,n1742845270,n10727046918,n11992333189,n4917790491,n11992333190",48,150996515,150995105,平安里,060035,amap_id,amap_name,adcode
n4137849446,osm_stop_area_group_id,r1650228,n5430505472,"n1195696935,n1195697020,n1767304556",39,150996513,150995104,车公庄,060033,amap_id,amap_name,adcode
n3053715983,osm_stop_area_group_id,r6157806,n7896877678,,85,150996511,150996511,车公庄西,060031,amap_id,amap_name,adcode
n11283748468,osm_stop_area_group_id,r16546684,n9380308680,"n11283755472,n11283755475,n11283755473,n11283755474,n11283755471,n11283748466",419,150996509,150995151,二里沟,060029,amap_id,amap_name,adcode
n4137849443,osm_stop_area_group_id,r8048031,n5448589968,"n8675160717,n8675156516,n8675160718,n8675160719,n8675160720",84,150996507,150995109,白石桥南,060027,amap_id,amap_name,adcode
n4137849450,osm_stop_area_group_id,r6157807,n5441522470,"n2144158429,n3923481273,n2144158430,n2144158432,n2144158431,n2144158433",83,150996505,150996505,花园桥,060025,amap_id,amap_name,adcode
n4137849448,osm_stop_area_group_id,r2672957,n5430509863,,82,151018045,150995103,慈寿寺,900061,amap_id,amap_name,adcode
n2099471227,osm_stop_area_group_id,r2684755,w169079144,"n2099458599,n7591327876,n7591327877,n7591327875",81,150996501,150996501,海淀五路居,060021,amap_id,amap_name,adcode
n6127534685,osm_stop_area_group_id,r9806935,n6172173687,"n8667716851,n8667716852,n8667716853",327,150996499,150996499,田村,060019,amap_id,amap_name,adcode
n6127534581,osm_stop_area_group_id,r9813933,n6172173686,"n6856770472,n6856770473,n6856770471",328,150996497,150996497,廖公庄,060017,amap_id,amap_name,adcode
n6127534534,osm_stop_area_group_id,r9813934,n6172173685,"n10769594909,n10554658680,n10769623105",329,150996495,150996495,西黄村,060015,amap_id,amap_name,adcode
n6127534572,osm_stop_area_group_id,r9813935,n6172173584,"n10554658679,n10769629454,n10769589588,n10769580951",330,150996493,150996493,杨庄,060013,amap_id,amap_name,adcode
n6127534570,osm_stop_area_group_id,r9736311,n9380332412,"n10285742570,n10285742566,n10285742569",1,150996491,150995125,苹果园,060011,amap_id,amap_name,adcode
n6127534568,osm_stop_area_group_id,r9620284,n6172173583,n9635315670,302,150996489,150995126,金安桥,060009,amap_id,amap_name,adcode
n3369459828,osm_stop_area_group_id,r9803586,n5463450278,,105,150996757,150995085,北京西站,070021,amap_id,amap_name,adcode
n3369459897,osm_stop_area_group_id,r4630723,n6496364884,,106,150996759,150996759,湾子,070023,amap_id,amap_name,adcode
n3369459799,osm_stop_area_group_id,r4630728,n3369459849,,107,150996761,150995137,达官营,070025,amap_id,amap_name,adcode
